"No.","Time","Source","Destination","Protocol","Length","Info"
"36","4.609852","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TLSv1.2","86","Application Data"
"37","4.610050","LAPTOP-P57AIN9A.local","e107108.dscx.akamaiedge.net","TLSv1.2","90","Application Data"
"38","4.614157","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TCP","54","443  >  58867 [ACK] Seq=33 Ack=37 Win=641 Len=0"
"822","11.760651","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TLSv1.2","86","Application Data"
"823","11.761188","LAPTOP-P57AIN9A.local","e107108.dscx.akamaiedge.net","TLSv1.2","90","Application Data"
"825","11.766566","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TCP","54","443  >  58867 [ACK] Seq=65 Ack=73 Win=641 Len=0"
"1343","19.264713","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TLSv1.2","86","Application Data"
"1344","19.264986","LAPTOP-P57AIN9A.local","e107108.dscx.akamaiedge.net","TLSv1.2","90","Application Data"
"1345","19.270681","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TCP","54","443  >  58867 [ACK] Seq=97 Ack=109 Win=641 Len=0"
"2246","27.124320","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TLSv1.2","86","Application Data"
"2260","27.124534","LAPTOP-P57AIN9A.local","e107108.dscx.akamaiedge.net","TLSv1.2","90","Application Data"
"2273","27.129258","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TCP","54","443  >  58867 [ACK] Seq=129 Ack=145 Win=641 Len=0"
"2619","34.250949","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TLSv1.2","86","Application Data"
"2620","34.251208","LAPTOP-P57AIN9A.local","e107108.dscx.akamaiedge.net","TLSv1.2","90","Application Data"
"2621","34.256174","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TCP","54","443  >  58867 [ACK] Seq=161 Ack=181 Win=641 Len=0"
"3390","41.743030","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TLSv1.2","86","Application Data"
"3391","41.743283","LAPTOP-P57AIN9A.local","e107108.dscx.akamaiedge.net","TLSv1.2","90","Application Data"
"3392","41.747383","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TCP","54","443  >  58867 [ACK] Seq=193 Ack=217 Win=641 Len=0"
"3459","50.544815","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TLSv1.2","86","Application Data"
"3461","50.544815","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TCP","86","[TCP Retransmission] 443  >  58867 [PSH, ACK] Seq=193 Ack=217 Win=641 Len=32"
"3463","50.544949","LAPTOP-P57AIN9A.local","e107108.dscx.akamaiedge.net","TCP","66","58867  >  443 [ACK] Seq=217 Ack=225 Win=253 Len=0 SLE=193 SRE=225"
"3464","50.545106","LAPTOP-P57AIN9A.local","e107108.dscx.akamaiedge.net","TLSv1.2","90","Application Data"
"3467","50.549426","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TCP","54","443  >  58867 [ACK] Seq=225 Ack=253 Win=641 Len=0"
"4154","57.994455","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TLSv1.2","86","Application Data"
"4155","57.994702","LAPTOP-P57AIN9A.local","e107108.dscx.akamaiedge.net","TLSv1.2","90","Application Data"
"4157","57.998336","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TCP","54","443  >  58867 [ACK] Seq=257 Ack=289 Win=641 Len=0"
"5125","65.491060","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TLSv1.2","86","Application Data"
"5126","65.491414","LAPTOP-P57AIN9A.local","e107108.dscx.akamaiedge.net","TLSv1.2","90","Application Data"
"5127","65.495530","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TCP","54","443  >  58867 [ACK] Seq=289 Ack=325 Win=641 Len=0"
"5241","73.145063","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TLSv1.2","86","Application Data"
"5252","73.146011","LAPTOP-P57AIN9A.local","e107108.dscx.akamaiedge.net","TLSv1.2","90","Application Data"
"5262","73.340559","e107108.dscx.akamaiedge.net","LAPTOP-P57AIN9A.local","TCP","54","443  >  58867 [ACK] Seq=321 Ack=361 Win=641 Len=0"
